"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Growth Habit","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","Drought Tolerance","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period"
"ABCO","","Abies concolor","white fir","Tree","Slow","20","120","Yes","Yes","No","None","Medium","80","Medium","5.5","7.8","18","80","40","None","Intermediate","-38","Late Spring"
"ABLA","","Abies lasiocarpa","subalpine fir","Tree","Slow","15","90","Yes","Yes","No","None","Low","120","Medium","4.0","6.5","20","150","40","None","Tolerant","-51","Late Spring"
"ACGI","","Acer ginnala","Amur maple","Tree, Shrub","Rapid","15","20","Yes","Yes","No","None","Low","130","Medium","6.1","7.5","30","60","24","Medium","Intermediate","-38","Mid Spring"
"ACGL","","Acer glabrum","Rocky Mountain maple","Shrub, Tree","Rapid","15","30","Yes","Yes","No","Low","Medium","180","Low","5.8","7.5","9","60","24","None","Intermediate","-43","Late Spring"
"ACNE2","","Acer negundo","boxelder","Tree","Rapid","35","60","Yes","Yes","Yes","Medium","High","100","Medium","5.0","7.8","15","75","40","Medium","Tolerant","-46","Early Spring"
"ACRU","","Acer rubrum","red maple","Tree","Rapid","35","68","Yes","Yes","Yes","Medium","Medium","80","High","4.7","7.3","25","80","30","None","Intermediate","-47","Early Spring"
"ACSA2","","Acer saccharinum","silver maple","Tree","Rapid","45","90","Yes","Yes","Yes","High","Low","120","Medium","4.0","7.3","20","70","32","Low","Intermediate","-47","Early Spring"
"AEGL","","Aesculus glabra","Ohio buckeye","Tree","Rapid","25","68","No","Yes","Yes","None","Medium","145","Medium","5.0","7.1","30","60","36","None","Tolerant","-33","Mid Spring"
"ALINR","","Alnus incana ssp. rugosa","speckled alder","Tree, Shrub","Moderate","16","16","No","Yes","Yes","High","Low","80","Medium","4.8","7.7","21","65","24","Low","Intermediate","-47","Early Spring"
"ALRU2","","Alnus rubra","red alder","Tree","Rapid","50","90","Yes","Yes","Yes","Low","Medium","180","High","4.3","7.3","24","220","25","None","Intolerant","-22","Early Spring"
"AMCA4","","Amelanchier canadensis","Canadian serviceberry","Tree, Shrub","Moderate","20","23","Yes","Yes","Yes","Medium","Low","110","Medium","5.5","7.5","30","60","20","Medium","Intermediate","-33","Mid Spring"
"ARME","","Arbutus menziesii","Pacific madrone","Tree","Slow","25","80","Yes","Yes","No","None","High","200","Low","4.5","7.4","15","163","24","None","Intermediate","13","Mid Spring"
